01/05/2022,Binta,-337.8,débit
01/05/2022,Fatma,-474.37,débit
01/05/2022,Mohamed,-362.54,débit
01/05/2022,Fatma,152.21,crédit
01/05/2022,Mohamed,-750.1,débit
01/05/2022,Mariem,-526.36,débit
01/05/2022,Fatma,-818.34,débit
01/05/2022,Mariem,-912.59,débit
01/05/2022,Moussa,-507.6,débit
01/05/2022,Mohamed,598.08,crédit
01/05/2022,Minya,-466.13,débit
01/05/2022,Ahmed,-148.55,débit
01/05/2022,Aicha,123.07,crédit
01/05/2022,Ahmed,-542.54,débit
01/05/2022,Ahmed,893.46,crédit
01/05/2022,Ahmed,-154.09,débit
01/05/2022,Mariem,-649.71,débit
01/05/2022,Minya,420.03,crédit
01/05/2022,Mohamed,754.53,crédit
01/05/2022,Mohamed,-14.71,débit
01/05/2022,Moussa,-318.68,débit
01/05/2022,Binta,-123.71,débit
01/05/2022,Fatma,-627.85,débit
01/05/2022,Ahmed,-978.43,débit
01/05/2022,Binta,-55.09,débit
01/05/2022,Aicha,925.45,crédit
01/05/2022,Ahmed,768.49,crédit
01/05/2022,Mariem,-600.36,débit
01/05/2022,Binta,138.15,crédit
01/05/2022,Fatma,-594.99,débit
01/05/2022,Minya,-525.45,débit
01/05/2022,Minya,-840.03,débit
02/05/2022,Binta,958.23,crédit
02/05/2022,Mariem,-454.05,débit
02/05/2022,Mohamed,883.2,crédit
02/05/2022,Minya,895.34,crédit
02/05/2022,Binta,481.84,crédit
02/05/2022,Mohamed,983.34,crédit
02/05/2022,Binta,947.72,crédit
02/05/2022,Moussa,-681.74,débit
02/05/2022,Fatma,-76.12,débit
02/05/2022,Mariem,881.39,crédit
02/05/2022,Fatma,733.12,crédit
02/05/2022,Moussa,309.32,crédit
02/05/2022,Betoul,968.37,crédit
02/05/2022,Ahmed,-699.22,débit
02/05/2022,Mariem,-875.02,débit
02/05/2022,Betoul,494.25,crédit
02/05/2022,Minya,-514.39,débit
03/05/2022,Aicha,-617.89,débit
03/05/2022,Betoul,-500.59,débit
03/05/2022,Aicha,978.94,crédit
03/05/2022,Binta,-455.11,débit
03/05/2022,Aicha,-550.35,débit
03/05/2022,Fatma,149.96,crédit
03/05/2022,Binta,-271.93,débit
03/05/2022,Mohamed,-451.86,débit
03/05/2022,Minya,571.15,crédit
03/05/2022,Ahmed,-167.67,débit
03/05/2022,Binta,489.83,crédit
03/05/2022,Minya,984.28,crédit
03/05/2022,Minya,-53.21,débit
03/05/2022,Moussa,-42.67,débit
03/05/2022,Minya,-486.01,débit
03/05/2022,Minya,150.48,crédit
03/05/2022,Aicha,-396.37,débit
03/05/2022,Moussa,218.05,crédit
03/05/2022,Minya,853.6,crédit
03/05/2022,Binta,-605.16,débit
03/05/2022,Mohamed,-50.84,débit
04/05/2022,Minya,994.32,crédit
04/05/2022,Mariem,767.91,crédit
04/05/2022,Fatma,-26.46,débit
04/05/2022,Ahmed,-877.9,débit
04/05/2022,Ahmed,-17.86,débit
04/05/2022,Mohamed,691.53,crédit
04/05/2022,Mariem,549.8,crédit
04/05/2022,Aicha,-991.74,débit
04/05/2022,Aicha,-769.14,débit
04/05/2022,Mariem,258.44,crédit
05/05/2022,Aicha,-3.04,débit
05/05/2022,Mariem,832.77,crédit
05/05/2022,Fatma,-504.39,débit
05/05/2022,Binta,-806.5,débit
05/05/2022,Betoul,887.84,crédit
05/05/2022,Aicha,519.04,crédit
05/05/2022,Ahmed,341.35,crédit
05/05/2022,Ahmed,-843.82,débit
05/05/2022,Fatma,961.67,crédit
05/05/2022,Fatma,552.71,crédit
05/05/2022,Fatma,370.87,crédit
05/05/2022,Aicha,-631.14,débit
05/05/2022,Betoul,399.03,crédit
05/05/2022,Fatma,-829.8,débit
05/05/2022,Aicha,-810.42,débit
06/05/2022,Moussa,-204.25,débit
06/05/2022,Betoul,-960.75,débit
06/05/2022,Mariem,-939.68,débit
06/05/2022,Aicha,-265.6,débit
06/05/2022,Aicha,198.95,crédit
06/05/2022,Binta,219.75,crédit
06/05/2022,Binta,-976.93,débit
06/05/2022,Betoul,887.62,crédit
06/05/2022,Moussa,-593.7,débit
06/05/2022,Mohamed,-784.7,débit
06/05/2022,Ahmed,705.59,crédit
07/05/2022,Ahmed,790.74,crédit
07/05/2022,Mohamed,-188.31,débit
07/05/2022,Mohamed,335.94,crédit
07/05/2022,Aicha,208.86,crédit
07/05/2022,Betoul,-55.1,débit
07/05/2022,Fatma,-7.03,débit
07/05/2022,Ahmed,-914.46,débit
07/05/2022,Betoul,-724.96,débit
07/05/2022,Betoul,-373.33,débit
07/05/2022,Betoul,922.69,crédit
07/05/2022,Betoul,81.04,crédit
